ds,y,exp_mean,adaptive,mich
2017-11-01,2.172493864295566,1.0344529579188912,1.6843334719788938,2.4
2017-12-01,2.129930719552253,1.3660853089899558,2.0507989115119862,2.2
2018-01-01,2.151318868063945,1.4363908540780816,2.5103933482571117,2.6
2018-02-01,2.263468931091861,1.3421615062830332,2.8103616813294208,2.7
2018-03-01,2.3309497646499366,1.052245659947007,2.44119623655914,2.5
2018-04-01,2.4709963021052994,1.3431956413454824,2.176223471915395,2.5
2018-05-01,2.781921607842497,1.4606253408771992,1.8563431667619756,2.6
2018-06-01,2.8075506935940187,2.13112818550151,1.640565809959127,2.6
2018-07-01,2.854124785561929,2.1090877130403713,1.7251073506566073,2.6
2018-08-01,2.6429238568742575,2.5693001671245894,1.92812155729698,2.6
2018-09-01,2.332055105808828,2.6012796916636276,2.1805652303711787,2.7
2018-10-01,2.492032470218053,2.35642494209132,2.020757753132485,2.4
2018-11-01,2.147328577667773,2.3531026081138764,2.172493864295566,2.5
2018-12-01,2.0023809043401064,2.184475464715553,2.129930719552253,2.7
2019-01-01,1.4875893578291333,2.451726909304786,2.151318868063945,2.7
2019-02-01,1.5188615351321877,2.2216575808725736,2.263468931091861,2.7
2019-03-01,1.8831863513063984,2.548376958142692,2.3309497646499366,2.8
2019-04-01,2.000583470209061,2.4529722872721087,2.4709963021052994,2.7
2019-05-01,1.7959105553606136,2.1566101999102187,2.781921607842497,2.8
2019-06-01,1.671194894390049,2.3771081144782586,2.8075506935940187,3.0
2019-07-01,1.826331335037068,2.5156650437716888,2.854124785561929,2.9
2019-08-01,1.7376412106666406,2.4179655591039757,2.6429238568742575,3.0
2019-09-01,1.6844977040391562,2.6768122118479836,2.332055105808828,2.7
2019-10-01,1.7339736996186295,2.247543072558184,2.492032470218053,2.9
2019-11-01,2.092290394862917,2.7480459277607348,2.147328577667773,2.8
2019-12-01,2.3195274699624457,2.750857390916239,2.0023809043401064,2.7
2020-01-01,2.599767976845202,2.617328466051295,1.4875893578291333,2.7
2020-02-01,2.3413166797595197,2.5371566659809814,1.5188615351321877,2.6
2020-03-01,1.4940399642909163,1.7111961101732034,1.8831863513063984,2.5
2020-04-01,0.3130472940411133,0.50986268617843,2.000583470209061,2.5
2020-05-01,0.1982013035848551,1.6039941974098406,1.7959105553606136,2.9
2020-06-01,0.7166562831830481,2.3073980357347863,1.671194894390049,2.7
2020-07-01,0.9968647625897997,2.260284758131987,1.826331335037068,2.6
2020-08-01,1.2810698495523853,2.751513879711918,1.7376412106666406,2.7
2020-09-01,1.3910228912373812,2.6053204087593285,1.6844977040391562,2.8
2020-10-01,1.2303863428671624,2.913449920728951,1.7339736996186295,2.5
2020-11-01,1.1757452138405844,3.0537415251972035,2.092290394862917,2.5
2020-12-01,1.3204191315779434,3.228694172174156,2.3195274699624457,2.3
2021-01-01,1.3553199782346148,3.347959891864238,2.599767976845202,2.5
